PrimaryDI|deviceRecordStatus|devicePublishDate|deviceCommDistributionEndDate|deviceCommDistributionStatus|brandName|versionModelNumber|catalogNumber|companyName|deviceCount|deviceDescription|DMExempt|premarketExempt|deviceHCTP|deviceKit|deviceCombinationProduct|singleUse|lotBatch|serialNumber|manufacturingDate|expirationDate|donationIdNumber|labeledContainsNRL|labeledNoNRL|MRISafetyStatus|rx|otc|deviceSterile|sterilizationPriorToUse
cd1aecda-448b-42fc-bfd7-3ffcf532de5c|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round SPECTRUM|3542420M|3542420M|MENTOR TEXAS L.P.|1|Post-Operatively Adjustable Saline Breast Implant, 175cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
41e1a35c-86f2-4c04-9853-9a024546626e|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round SPECTRUM|3542410M|3542410M|MENTOR TEXAS L.P.|1|Post-Operatively Adjustable Saline Breast Implant, 125cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
cd155d46-2d12-4d57-a37a-e39654e8ce78|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round SPECTRUM|3501460|3501460|MENTOR TEXAS L.P.|1|Post Operatively Adjustable Saline Breast Implant, 375cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
66418e31-1d68-4834-80aa-64126c554c7e|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE High|3542711|3542711|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 275cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
81cd1bd5-3d37-40bf-ba0a-ccd064357851|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE Moderate|3542910|3542910|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 175cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
63ad3365-a539-49fd-ba3a-7115727c1580|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542670|3542670|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 425cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
4d1759d1-8660-4d3e-af51-e56d434b56cb|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542655|3542655|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 350cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
030d5c27-d380-4ead-a2f0-3076ab536d41|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542635|3542635|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 250cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
c47c2927-7977-4f3e-9daa-26c377f34e68|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542630|3542630|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 225cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
de8cda81-2c85-41cf-9970-b18451a0a4b7|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542625|3542625|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 200cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
d6e414ce-cfcc-4121-ba23-160023d8bd68|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Plus Profile|3502800|3502800|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 800cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
40b628c7-5a4f-4e19-b22b-ade7fc04c209|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Plus Profile|3502275|3502275|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 275cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
