PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
53b68134-589b-443e-87b2-2fae511c5117|Device Size Text, specify|""|""|270 cc
f393e95a-44de-44f1-9bfe-3f786dadb6da|Device Size Text, specify|""|""|230 cc
94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b|Device Size Text, specify|""|""|510 cc
97bc82c2-a2b9-430d-a94e-f27021a8c9c7|Device Size Text, specify|""|""|230 cc
6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6|Device Size Text, specify|""|""|750 cc
aa62cdf2-986c-4cc7-8e66-76502870eb63|Device Size Text, specify|""|""|150 cc
459d5299-a14d-47f7-9951-847d4fbd83f5|Device Size Text, specify|""|""|530 cc
4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca|Device Size Text, specify|""|""|440 cc
ded01b82-260a-467f-a332-c9405d709fd2|Device Size Text, specify|""|""|680 cc
360586b3-327c-42a1-a73a-055f4d2ae37c|Device Size Text, specify|""|""|480 cc
f85a2054-3ffd-4128-9484-e524d91b9489|Device Size Text, specify|""|""|440 cc
b512b950-23d3-40eb-9caf-bf2246357c36|Device Size Text, specify|""|""|150 cc
f1be1dbd-08b1-4dae-843c-02a3b424aa06|Device Size Text, specify|""|""|750 cc
e45a3084-899e-4d25-a822-2a2925016400|Device Size Text, specify|""|""|550 cc
20a7de13-623a-47cc-a0a0-adf7e27b2297|Device Size Text, specify|""|""|200 cc
cb4b64b5-00bf-4f8a-af4a-a8b4c9295a5f|Device Size Text, specify|""|""|510 cc
67e029eb-3fab-424b-b3c1-3cd34f8e17c6|Device Size Text, specify|""|""|390 cc
f306a976-bc7c-40b1-ab52-68f2bd1311bb|Device Size Text, specify|""|""|Total Volume, 335 cc
c4d45b12-1a0f-4dc0-a73a-661ee9c7c4a2|Device Size Text, specify|""|""|Total Volume, 300 cc
cc3f6927-af27-4fd9-bd6c-121ee3ff11b4|Device Size Text, specify|""|""|195 cc
6de1d27d-fe37-46df-b239-5d22f051d662|Device Size Text, specify|""|""|690 cc
8763a21f-8ffc-46be-a2d5-577cc07d483b|Device Size Text, specify|""|""|620 cc
2b447715-db1f-440a-95ff-e4ccf38bf730|Device Size Text, specify|""|""|370 cc
02d28c4c-a9ee-4521-87a2-5ef39af66e78|Device Size Text, specify|""|""|200 cc
9631eb8a-730c-4226-a94f-dd42c17eb300|Device Size Text, specify|""|""|170 cc
c518b016-69c9-4c4b-9314-1dfa75ec413b|Device Size Text, specify|""|""|800 cc
2a8bdf63-5844-4f45-8609-521cbd3dbaaf|Device Size Text, specify|""|""|480 cc
d8a8e327-f2f7-4a77-9206-ff33ae7c55f7|Device Size Text, specify|""|""|450 cc
2c067450-bd78-4bc6-bef7-2d03f5069598|Device Size Text, specify|""|""|360 cc
6767c973-8e3b-45ff-967a-d1dbeafe3c33|Device Size Text, specify|""|""|330 cc
2a1d0472-cb2a-4f22-af7e-6bd399655976|Device Size Text, specify|""|""|270 cc
6a8a0227-c7fe-4cee-84f6-dfaf413cbdbf|Device Size Text, specify|""|""|780 cc
cb0f1541-574b-4f49-a0d5-1f227aeb2ce1|Device Size Text, specify|""|""|640 cc
ffb9cc5c-9a7b-4bd1-918c-a2dabec0d4d3|Device Size Text, specify|""|""|200 cc
9e112ef1-3f1c-4c9a-a75f-293b58b32e8e|Device Size Text, specify|""|""|125 cc
bf940c90-24f4-49b7-8155-1a151d09cd3d|Device Size Text, specify|""|""|800 cc
a5e73f37-5562-40ef-9498-740ee3746aac|Device Size Text, specify|""|""|650 cc
a315fe9a-0539-495a-ad00-6e068534f90a|Device Size Text, specify|""|""|320 cc
9e521552-307f-465a-aed2-cec7368a97d9|Device Size Text, specify|""|""|280 cc
1cf95e63-0634-490f-974b-88e6ce83bcbf|Device Size Text, specify|""|""|240 cc
832d13f2-a9f4-4eaf-ab72-775b52e53d99|Device Size Text, specify|""|""|800 cc
b373f08f-c7b1-4418-a539-be50a01626a6|Device Size Text, specify|""|""|650 cc
3fd73c67-cdcb-4887-8a3c-174ad369da07|Device Size Text, specify|""|""|550 cc
5477ea14-e529-4889-b6a2-a85c1526da17|Device Size Text, specify|""|""|480 cc
6583e5f0-52d2-4445-a89e-57f6573e0960|Device Size Text, specify|""|""|420 cc
083dd175-580e-464c-bf67-91dc0350d6fe|Device Size Text, specify|""|""|240 cc
ac011a68-fa10-41d0-8226-5ca861614b34|Device Size Text, specify|""|""|Total Volume, 675 cc
bbcba13c-ec3c-40d3-aae0-9ab27bd755ca|Device Size Text, specify|""|""|Total Volume, 270 cc
e555612a-a59b-4d8e-b69d-762e222f1a5b|Device Size Text, specify|""|""|560 cc
d476ff03-7eab-419e-91fa-b26778a877e2|Device Size Text, specify|""|""|300 cc
027f7df6-ae10-4cc8-9db1-cb9d69e82e3a|Device Size Text, specify|""|""|300 cc
c5e3392f-a22f-4c02-91e8-868e8937b1f6|Device Size Text, specify|""|""|550 cc
df37ecaa-d8f7-4019-b0cc-13a149a70423|Device Size Text, specify|""|""|300 cc
5ef4782d-9a4c-46c3-993e-3e08d6d6fe8a|Device Size Text, specify|""|""|210 cc
46868fad-30db-463b-8555-2489eceda955|Device Size Text, specify|""|""|655 cc
6109da21-fe30-4a1f-9b1e-649f41d967e1|Device Size Text, specify|""|""|550 cc
3f031469-f148-408b-b1f2-736084600a62|Device Size Text, specify|""|""|420 cc
e84ccd9f-30f4-4cc3-a20d-d42ce5a20786|Device Size Text, specify|""|""|400 cc
7a34e09c-aeb6-4950-865c-8b33587f466a|Device Size Text, specify|""|""|325 cc
ea9c1811-d7c4-4860-9ff2-6d8679a15e26|Device Size Text, specify|""|""|250 cc
82bc90f1-5214-4abf-9a2f-35a7e018f119|Device Size Text, specify|""|""|225 cc
772e03e5-96b9-4654-a349-9c1d63001650|Device Size Text, specify|""|""|500 cc
3c77198a-45f3-46ff-9340-00395d426394|Device Size Text, specify|""|""|465 cc
3d8cb3e9-ac3c-4154-8fdf-9c53be29a908|Device Size Text, specify|""|""|150 cc
ff4cd72a-8aba-4806-80f4-80b229ac502c|Device Size Text, specify|""|""|Total Volume, 475 cc
0324b5c7-7fb7-400c-a519-e83398d5016c|Device Size Text, specify|""|""|Total Volume, 440 cc
8ba0ec1a-c65f-4ab2-a37a-49846f9c6768|Device Size Text, specify|""|""|450 cc
0b69753e-bc11-45a6-af55-8d5ce46f36be|Device Size Text, specify|""|""|560 cc
4ac2ec27-9987-4d70-8be5-288ed40709b4|Device Size Text, specify|""|""|450 cc
259e3f7d-ffb6-42f0-971d-fc86e8c92b3a|Device Size Text, specify|""|""|410 cc
271402be-d2c8-4fc5-9722-60fed64d5b9c|Device Size Text, specify|""|""|700 cc
d653b4d0-d602-4af8-8861-2eaa28e7f5f3|Device Size Text, specify|""|""|525 cc
ab036dcf-e961-4978-bec9-243ecbf7d61e|Device Size Text, specify|""|""|350 cc
c6b12943-ddc8-4335-ac98-63b6926fcf9d|Device Size Text, specify|""|""|300 cc
73364b25-e3c0-4d99-a7f5-96a3eec3df17|Device Size Text, specify|""|""|750 cc
3927b7d5-e9f9-49d6-a85d-6b5572b3aa93|Device Size Text, specify|""|""|700 cc
087b781e-aca2-4848-bbff-65a85b793e3d|Device Size Text, specify|""|""|360 cc
61f0df7a-2bb7-4881-9274-864ee339094e|Device Size Text, specify|""|""|330 cc
a79c9806-896a-4d2f-b3d9-886df38985b0|Device Size Text, specify|""|""|300 cc
f734f056-c23c-4416-95ff-d8f6c96fe493|Device Size Text, specify|""|""|270 cc
138171a2-190d-4adf-bcf1-70ef3805f49f|Device Size Text, specify|""|""|180 cc
fb99a9b3-eabf-4779-8e3d-9a7ed1beaef8|Device Size Text, specify|""|""|620 cc
3ddcb801-b27c-4ec8-909e-083441996324|Device Size Text, specify|""|""|600 cc
18813a34-c3de-4652-878d-94ca97e4a032|Device Size Text, specify|""|""|360 cc
adcbf031-dae6-4587-9206-9f50729f57bb|Device Size Text, specify|""|""|275 cc
5ab6832b-44ad-49d7-90ff-f7c153c0d489|Device Size Text, specify|""|""|600 cc
fe224022-3f48-4c18-8bc1-58f41eed53d4|Device Size Text, specify|""|""|350 cc
5a005bfa-e4c8-46d9-8a2c-5913c74e396d|Device Size Text, specify|""|""|120 cc
9ccf5e23-d3c9-4c0f-8924-075c4d61ee51|Device Size Text, specify|""|""|Total Volume, 555 cc
a9eb4451-b31e-4634-b2cc-40e2c74c0d52|Device Size Text, specify|""|""|Total Volume, 370 cc
a2af3303-cde4-40cd-aa0d-e0f48b25c59c|Device Size Text, specify|""|""|495 cc
a2058666-a6c9-4cf3-ab16-04afc6898d77|Device Size Text, specify|""|""|380 cc
4d1a7d0f-747d-4557-bcc6-7db73d7cfe8d|Device Size Text, specify|""|""|350 cc
d2937e65-30d2-424c-aeae-389147b0e9d8|Device Size Text, specify|""|""|330 cc
de13784c-cf35-4884-9e5a-bb77b8986e2d|Device Size Text, specify|""|""|260 cc
1a2f0499-aa0e-4e0a-850b-91d1a841b3a4|Device Size Text, specify|""|""|650 cc
e6483012-fe7b-45f1-87b0-e35ae0aded30|Device Size Text, specify|""|""|510 cc
f5055ca3-4ed0-4583-bb36-75888d057349|Device Size Text, specify|""|""|420 cc
9710091a-087a-464d-b8cf-e01d0381ce0d|Device Size Text, specify|""|""|390 cc
985afc97-db2c-4d59-b5d4-c5c6fed0317b|Device Size Text, specify|""|""|240 cc
56ea3f4a-89c0-4c0d-a2e6-240a2822cbb6|Device Size Text, specify|""|""|180 cc
b11a2711-870c-4823-8774-1ad85c12e86b|Device Size Text, specify|""|""|120 cc
e5b03218-1d4d-4b85-bf17-09a43d3c4571|Device Size Text, specify|""|""|600 cc
949e253e-6ea2-49a4-827e-e3395fe4ba92|Device Size Text, specify|""|""|175 cc
bf191d34-43ce-4a66-bd79-1006d770b156|Device Size Text, specify|""|""|700 cc
0db47fe6-507d-46ab-b8b1-fbc883b5f487|Device Size Text, specify|""|""|425 cc
193bcdda-6bd4-4b0e-a0b2-47809166c0bd|Device Size Text, specify|""|""|400 cc
b2690e39-8f7b-4827-922f-fc90e6b69933|Device Size Text, specify|""|""|160 cc
1406fec3-c07e-4673-b70d-b329527760ed|Device Size Text, specify|""|""|600 cc
a817e26f-5ab9-4052-a19d-434b912c6e09|Device Size Text, specify|""|""|450 cc
f748154e-235f-463b-9f8e-f8da50e0e323|Device Size Text, specify|""|""|210 cc
2281817c-589a-4310-977c-dfc1ea2aa672|Device Size Text, specify|""|""|Total Volume, 635 cc
ffe23f48-9bed-4fec-88b9-008e7b2ddaba|Device Size Text, specify|""|""|Total Volume, 595 cc
57055826-138b-4f2c-80df-a5593037faa4|Device Size Text, specify|""|""|Total Volume, 515 cc
1ac83e20-7577-4663-8597-22a3afc82437|Device Size Text, specify|""|""|Total Volume, 405 cc
8013d45b-eb2c-42c1-8d5e-c5047d64ea1f|Device Size Text, specify|""|""|Total Volume, 240 cc 
29bb17a8-5f86-47a9-bb72-429e04da44bb|Device Size Text, specify|""|""|Total Volume, 210 cc
ebb058fd-06fe-4a5b-bd7c-1717a57cea81|Device Size Text, specify|""|""|Volume: 485 cc
811671a3-ca58-4bf8-9674-7f5357ad40a0|Device Size Text, specify|""|""|Volume: 435 cc
fcf28a5a-e8f1-4158-9b82-e0a2372715d8|Device Size Text, specify|""|""|Volume: 115 cc
fd1a397b-163f-4ad0-a8a9-fabd38f0b00b|Device Size Text, specify|""|""|Volume: 700 cc
42ed060e-41b9-4a87-ad94-f31b3fa6cd63|Device Size Text, specify|""|""|Volume: 620 cc
57b28e96-a747-4439-a7d3-ecd5bee4ed7f|Device Size Text, specify|""|""|Volume: 440 cc
ab2365f4-da01-456c-a352-632e6e05b98c|Device Size Text, specify|""|""|Volume: 330 cc
927059ac-ae1f-4fb3-a69d-f3cc89b84193|Device Size Text, specify|""|""|Volume: 255 cc
968cf140-530a-431d-b685-e3312b953007|Device Size Text, specify|""|""|Volume: 205 cc
fcd5b17b-3f59-4d26-b165-7b8edb8e40c2|Device Size Text, specify|""|""|Volume: 535 cc
eb7724d8-bbdb-4b4b-8d2f-6a9fa72b8357|Device Size Text, specify|""|""|Volume: 590 cc
568972b2-60b8-4b33-a623-793cca39b033|Device Size Text, specify|""|""|Volume: 505 cc
aba1f749-24bd-4a16-880e-5c1138a0adf4|Device Size Text, specify|""|""|Volume: 455 cc
68aaa81b-cccd-485d-ad91-79e7c58fa623|Device Size Text, specify|""|""|Volume: 535 cc
d131cae4-20fa-4a35-bc3f-dad44c5cb48c|Device Size Text, specify|""|""|Volume: 695 cc
73544fba-4071-4c64-8ac1-bf1f452561e1|Device Size Text, specify|""|""|Volume: 255 cc
a135896d-796e-4a57-b7fa-715dfcdd8cc3|Device Size Text, specify|""|""|Volume: 565 cc
8947163e-99ce-4b04-970f-7a86c0e27764|Device Size Text, specify|""|""|Volume: 385 cc
e4dfc853-d46f-4a76-a961-8fda0103e888|Device Size Text, specify|""|""|Volume: 300 cc
085776d1-d7bf-41f1-9804-1140c90971fe|Device Size Text, specify|""|""|Volume: 570 cc
a635df62-1fc1-4126-9126-0c6d69bc2ad7|Device Size Text, specify|""|""|Volume: 300 cc
4fa3c40a-bac9-4c79-813a-c6cd51e6e09b|Device Size Text, specify|""|""|Volume: 250 cc
2467b0f4-1030-4b8c-9656-28848d9d149c|Device Size Text, specify|""|""|Volume: 205 cc
0b0bc4a5-76df-43c7-bc6b-c8597679a121|Device Size Text, specify|""|""|Volume: 170 cc
7abe45e6-05ae-4f42-80ab-e30a8a63e745|Device Size Text, specify|""|""|Volume: 450 cc
106acc77-bef5-4ef5-af48-7015554c3e57|Device Size Text, specify|""|""|Volume: 210 cc
05bdd7f5-dcd9-4efc-9670-c90e83a91ee2|Device Size Text, specify|""|""|Volume: 180 cc
334a72cd-8f6e-4a6e-aba5-9a984f9221a4|Device Size Text, specify|""|""|Volume: 200 cc
b44a4df7-9b7e-4572-b687-2fceb3ed263d|Device Size Text, specify|""|""|Volume: 700 cc
05cf4613-fe28-4ecc-bbaf-ec0dbd0c5b18|Device Size Text, specify|""|""|Volume: 550 cc
edc2eace-2e81-458d-a05a-c27b0a8fb0b6|Device Size Text, specify|""|""|Volume: 500 cc
e0c9408f-9108-4aab-ae7f-701a044dcacf|Device Size Text, specify|""|""|Volume: 330 cc
59e73e81-c6a7-4841-ae78-16e3d5501ea5|Device Size Text, specify|""|""|Volume: 250 cc
52beedb0-0efb-4084-8f31-7b5d289901df|Device Size Text, specify|""|""|Volume: 550 cc
8a3720a1-2e0a-4b01-8d63-5bc1ec58054d|Device Size Text, specify|""|""|Volume: 300 cc
c5b0a9c3-c498-4322-b97b-5dea523685ad|Device Size Text, specify|""|""|Volume: 270 cc
d21b6bd3-6219-4fb2-b0c8-904566b2aed2|Device Size Text, specify|""|""|Volume: 220 cc
8ca3c2f6-49df-4b1f-b920-cf023f207d64|Device Size Text, specify|""|""|Volume: 695 cc
d8df3e9f-6dba-4d7a-b5ce-2b21d9be62e6|Device Size Text, specify|""|""|Volume: 225 cc
56880b9e-ec57-4d08-9a96-b6ca2703b853|Device Size Text, specify|""|""|Volume: 400 cc
169876b3-cec0-4405-b455-d069a1775313|Device Size Text, specify|""|""|Volume: 340 cc
7e046bb3-1ff5-4d5e-8bc3-d0886059df89|Device Size Text, specify|""|""|Volume: 160 cc
b4f6e441-83ec-4e8d-8a07-da7e7bf02cff|Device Size Text, specify|""|""|Volume: 485 cc
6427e85e-24b5-4c0b-a2a7-1aeda50c7b2a|Device Size Text, specify|""|""|Volume: 435 cc
18a9eed6-9cfd-4ca5-9ff1-b3206baf900d|Device Size Text, specify|""|""|Volume: 255 cc
c1a27b4e-c22c-4df7-bccf-a91de3bc5eb6|Device Size Text, specify|""|""|Volume: 440 cc
3eb1cb4c-8428-4619-abcf-9a7d3734e9a0|Device Size Text, specify|""|""|Volume: 225 cc
d1ff6c81-ad44-4c67-bf96-f7e6118884bd|Device Size Text, specify|""|""|Volume: 205 cc
0edd7af4-8989-4212-8ac2-3ac63fdc27b6|Device Size Text, specify|""|""|Volume: 550 cc
704bdd45-f13e-4e23-86ff-646833d6cfba|Device Size Text, specify|""|""|Volume: 400 cc
3ccfe8cf-a9b4-4d84-92d0-99091c30d17c|Device Size Text, specify|""|""|Volume: 220 cc
fbc0d6f1-28e6-4688-965d-c3279a82f846|Device Size Text, specify|""|""|Volume: 190 cc
b3590a1d-ded9-44b0-8b02-004266bee95e|Device Size Text, specify|""|""|Volume: 160 cc
89f377f0-d2b0-4902-900b-8cc6328f9027|Device Size Text, specify|""|""|Volume: 315 cc
83f97a76-acc4-419e-8961-9ee999500152|Device Size Text, specify|""|""|Volume: 265 cc
95d55b82-0af5-4dea-8ddd-25a5d975c56e|Device Size Text, specify|""|""|Volume: 510 cc
d559e43b-3ee3-450d-a967-9ac31a2883a0|Device Size Text, specify|""|""|700 cc
277adc95-798f-445b-a1a1-e411933217dd|Device Size Text, specify|""|""|650 cc
4ca38c5a-6d6a-4b1a-9982-0498f0db7fee|Device Size Text, specify|""|""|470 cc
114a1f5c-4d47-4fb8-9679-9f40b4e1536e|Device Size Text, specify|""|""|340 cc
e17bc945-07af-4f9f-bc11-c0959fa12337|Device Size Text, specify|""|""|240 cc
e32fec31-860a-49d4-b2a9-0c06593e3378|Device Size Text, specify|""|""|200 cc
d88d2b88-2975-4fbf-ada2-62e89d2edec1|Device Size Text, specify|""|""|180 cc
19d7a2ba-78bd-442d-8379-c27fc2193a34|Device Size Text, specify|""|""|755 cc
f6f2c73b-c504-4a72-81aa-60592f5db53f|Device Size Text, specify|""|""|685 cc
e63ebfe4-c8d3-46cd-b634-139186791f5b|Device Size Text, specify|""|""|405 cc
cd12939f-95b3-422b-bb91-16db28cd6c2c|Device Size Text, specify|""|""|375 cc
906bd8ed-5767-42e5-82ca-1e01286f9a11|Device Size Text, specify|""|""|360 cc
4aecf1ab-6221-4ca7-b9c4-a9d3390b6028|Device Size Text, specify|""|""|330 cc
17ad885d-0a68-4b56-9c13-d0ab67918497|Device Size Text, specify|""|""|240 cc
01133557-34f8-4128-89a6-dd5e7729cb66|Device Size Text, specify|""|""|175 cc
ff3f60a9-c567-4af8-bccf-c74b858926f9|Device Size Text, specify|""|""|490 cc
c0dd0933-978b-43d2-a48b-cfe0c0df1551|Device Size Text, specify|""|""|440 cc
045cb742-8edb-4517-bb68-49e97a3ab9d5|Device Size Text, specify|""|""|320 cc
2f259f6d-6753-47cb-bffe-4b3008111a77|Device Size Text, specify|""|""|220 cc
7542bf5f-ba9d-4629-917c-0baf41eb3e7c|Device Size Text, specify|""|""|190 cc
12c98503-4694-4e96-9af1-5212648123c5|Device Size Text, specify|""|""|125 cc
b50b8718-7414-4dbe-b791-7b11607d8a44|Device Size Text, specify|""|""|610 cc
c165fe2c-a7c8-4903-874e-339d036ad237|Device Size Text, specify|""|""|410 cc
eaf34e9f-501c-4f04-8dfb-8cf7eab20589|Device Size Text, specify|""|""|230 cc
500b2254-6a3d-4ad9-923c-492247630171|Device Size Text, specify|""|""|375 cc
904ba2b2-6b71-454c-8d70-b9b70064b5ec|Device Size Text, specify|""|""|310 cc
54b1f033-b2a5-43c0-a55e-5db3fd41c9f2|Device Size Text, specify|""|""|365 cc
8edfe3da-2893-42b1-aa17-f365f5b7b3a7|Device Size Text, specify|""|""|345 cc
34716bb4-4d88-4b30-9138-934b4a156240|Device Size Text, specify|""|""|180 cc
3c623f83-753e-49a1-b1df-c93ff78370f3|Device Size Text, specify|""|""|600 cc
6c6a98d0-bfd5-463e-9b9d-d319cbcf2527|Device Size Text, specify|""|""|485 cc
ae4a1ec3-2d55-47d3-88bf-7f4469f54a8f|Device Size Text, specify|""|""|345 cc
d8eb7259-b578-4c1e-bad2-fc31afbd5a2a|Device Size Text, specify|""|""|275 cc
2fc83b9e-3a24-47cd-a3af-4ce2d71f2ab5|Device Size Text, specify|""|""|640 cc
ee3536f3-da61-4664-aa3e-0fe70099a00b|Device Size Text, specify|""|""|590 cc
dfff4ba1-59d6-4598-b3a4-755619e55df7|Device Size Text, specify|""|""|490 cc
124fbc7a-7370-444d-a609-e79e5a5e619b|Device Size Text, specify|""|""|400 cc
3f5fdb46-28b4-48b9-adfc-d7637e5f9726|Device Size Text, specify|""|""|360 cc
b7b8162c-5fa4-4b56-956a-1ed8063b9277|Device Size Text, specify|""|""|190 cc
0f987fac-a7a1-41c2-bb3f-4879474c6a7f|Device Size Text, specify|""|""|460 cc
354971de-8a19-40af-9d22-3cbc4fbd3eaf|Device Size Text, specify|""|""|380 cc
cfeadbef-c50b-4c5a-bf3d-8279754b06e3|Device Size Text, specify|""|""|320 cc
3e0c60a4-0d1f-40d9-8180-70aa298678c7|Device Size Text, specify|""|""|200 cc
6b6c3659-8b39-4127-ac63-1534179a3ba4|Device Size Text, specify|""|""|140 cc
e8fac398-fe68-493a-a6d5-5ad96fc85051|Device Size Text, specify|""|""|750 cc
f62af68f-725f-4792-9a69-b84914ad607c|Device Size Text, specify|""|""|615 cc
bbdafac1-fd09-4b80-87db-0659a5b61fa4|Device Size Text, specify|""|""|525 cc
dc1ce2d5-ba29-4f95-8331-64cb0a6e332e|Device Size Text, specify|""|""|340 cc
bc3d218e-094a-43df-ad90-b335ed19ee6a|Device Size Text, specify|""|""|745 cc
aac23652-3106-4bb8-8d23-e8c175ecb32f|Device Size Text, specify|""|""|650 cc
b875001c-adc6-4f02-a4d2-777605cf3374|Device Size Text, specify|""|""|605 cc
2d02c7aa-f423-4c2d-b14a-405ac8d13249|Device Size Text, specify|""|""|485 cc
c5bacfbe-ebc5-40d9-968f-6690c8013646|Device Size Text, specify|""|""|345 cc
395a216f-ad51-4780-a227-ae5cdeef1d7d|Device Size Text, specify|""|""|325 cc
1a5ece6f-6ebd-497b-af07-372c28725a77|Device Size Text, specify|""|""|220 cc
7ec85527-eb1b-44eb-ab9d-de652c907695|Device Size Text, specify|""|""|200 cc
526097c0-29dc-475d-8713-c662c7decf26|Device Size Text, specify|""|""|405 cc
efcfe47b-93b0-484a-9b46-f03ac624b0b8|Device Size Text, specify|""|""|240 cc
1c635542-95d0-4cdc-af07-f1966ab617c2|Device Size Text, specify|""|""|640 cc
