PrimaryDI|phone|phoneExtension|email
cd1aecda-448b-42fc-bfd7-3ffcf532de5c|+1(800)235-5731||xx@xx.xx
41e1a35c-86f2-4c04-9853-9a024546626e|+1(800)235-5731||xx@xx.xx
cd155d46-2d12-4d57-a37a-e39654e8ce78|+1(800)235-5731||xx@xx.xx
66418e31-1d68-4834-80aa-64126c554c7e|+1(800)235-5731||xx@xx.xx
81cd1bd5-3d37-40bf-ba0a-ccd064357851|+1(800)235-5731||xx@xx.xx
63ad3365-a539-49fd-ba3a-7115727c1580|+1(800)235-5731||xx@xx.xx
4d1759d1-8660-4d3e-af51-e56d434b56cb|+1(800)235-5731||xx@xx.xx
030d5c27-d380-4ead-a2f0-3076ab536d41|+1(800)235-5731||xx@xx.xx
c47c2927-7977-4f3e-9daa-26c377f34e68|+1(800)235-5731||xx@xx.xx
de8cda81-2c85-41cf-9970-b18451a0a4b7|+1(800)235-5731||xx@xx.xx
d6e414ce-cfcc-4121-ba23-160023d8bd68|+1(800)235-5731||xx@xx.xx
40b628c7-5a4f-4e19-b22b-ade7fc04c209|+1(800)235-5731||xx@xx.xx
89bab6a5-f7b3-4c67-ac49-2a46114b9b14|+1(800)235-5731||xx@xx.xx
58a2ab9a-e01b-4bce-9ef9-e4c5ffacf0df|+1(800)235-5731||xx@xx.xx
d9ed7815-f919-419d-a269-47ca9f45268c|+1(800)235-5731||xx@xx.xx
42f2dfab-169a-4611-9a1b-62fe48356dd5|+1(800)235-5731||xx@xx.xx
53b68134-589b-443e-87b2-2fae511c5117|8006244261||ProductSupport@allergan.com
f393e95a-44de-44f1-9bfe-3f786dadb6da|8006244261||ProductSupport@allergan.com
94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b|8006244261||ProductSupport@allergan.com
97bc82c2-a2b9-430d-a94e-f27021a8c9c7|8006244261||ProductSupport@allergan.com
6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6|8006244261||ProductSupport@allergan.com
aa62cdf2-986c-4cc7-8e66-76502870eb63|8006244261||ProductSupport@allergan.com
459d5299-a14d-47f7-9951-847d4fbd83f5|8006244261||ProductSupport@allergan.com
4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca|8006244261||ProductSupport@allergan.com
ded01b82-260a-467f-a332-c9405d709fd2|8006244261||ProductSupport@allergan.com
360586b3-327c-42a1-a73a-055f4d2ae37c|8006244261||ProductSupport@allergan.com
