PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus
cd1aecda-448b-42fc-bfd7-3ffcf532de5c|00081317002062|Primary|GS1||||
41e1a35c-86f2-4c04-9853-9a024546626e|00081317002055|Primary|GS1||||
cd155d46-2d12-4d57-a37a-e39654e8ce78|00081317002000|Primary|GS1||||
66418e31-1d68-4834-80aa-64126c554c7e|00081317001904|Primary|GS1||||
81cd1bd5-3d37-40bf-ba0a-ccd064357851|00081317001843|Primary|GS1||||
63ad3365-a539-49fd-ba3a-7115727c1580|00081317001829|Primary|GS1||||
4d1759d1-8660-4d3e-af51-e56d434b56cb|00081317001805|Primary|GS1||||
030d5c27-d380-4ead-a2f0-3076ab536d41|00081317001768|Primary|GS1||||
c47c2927-7977-4f3e-9daa-26c377f34e68|00081317001751|Primary|GS1||||
de8cda81-2c85-41cf-9970-b18451a0a4b7|00081317001744|Primary|GS1||||
d6e414ce-cfcc-4121-ba23-160023d8bd68|00081317001539|Primary|GS1||||
40b628c7-5a4f-4e19-b22b-ade7fc04c209|00081317001386|Primary|GS1||||
89bab6a5-f7b3-4c67-ac49-2a46114b9b14|00081317001263|Primary|GS1||||
58a2ab9a-e01b-4bce-9ef9-e4c5ffacf0df|00081317001256|Primary|GS1||||
d9ed7815-f919-419d-a269-47ca9f45268c|00081317001195|Primary|GS1||||
42f2dfab-169a-4611-9a1b-62fe48356dd5|00081317001171|Primary|GS1||||
53b68134-589b-443e-87b2-2fae511c5117|10888628001107|Primary|GS1||||
f393e95a-44de-44f1-9bfe-3f786dadb6da|10888628001091|Primary|GS1||||
94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b|10888628001046|Primary|GS1||||
97bc82c2-a2b9-430d-a94e-f27021a8c9c7|10888628000971|Primary|GS1||||
6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6|10888628000933|Primary|GS1||||
aa62cdf2-986c-4cc7-8e66-76502870eb63|10888628000766|Primary|GS1||||
459d5299-a14d-47f7-9951-847d4fbd83f5|10888628000728|Primary|GS1||||
4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca|10888628000711|Primary|GS1||||
ded01b82-260a-467f-a332-c9405d709fd2|10888628000698|Primary|GS1||||
360586b3-327c-42a1-a73a-055f4d2ae37c|10888628000643|Primary|GS1||||
f85a2054-3ffd-4128-9484-e524d91b9489|10888628000636|Primary|GS1||||
b512b950-23d3-40eb-9caf-bf2246357c36|10888628000520|Primary|GS1||||
f1be1dbd-08b1-4dae-843c-02a3b424aa06|10888628000490|Primary|GS1||||
e45a3084-899e-4d25-a822-2a2925016400|10888628000452|Primary|GS1||||
20a7de13-623a-47cc-a0a0-adf7e27b2297|10888628000360|Primary|GS1||||
cb4b64b5-00bf-4f8a-af4a-a8b4c9295a5f|10888628000285|Primary|GS1||||
67e029eb-3fab-424b-b3c1-3cd34f8e17c6|10888628000247|Primary|GS1||||
f306a976-bc7c-40b1-ab52-68f2bd1311bb|10851795006046|Primary|GS1||||
c4d45b12-1a0f-4dc0-a73a-661ee9c7c4a2|10851795006039|Primary|GS1||||
e555612a-a59b-4d8e-b69d-762e222f1a5b|10888628001169|Primary|GS1||||
d476ff03-7eab-419e-91fa-b26778a877e2|10888628001114|Primary|GS1||||
027f7df6-ae10-4cc8-9db1-cb9d69e82e3a|10888628000995|Primary|GS1||||
c5e3392f-a22f-4c02-91e8-868e8937b1f6|10888628000896|Primary|GS1||||
df37ecaa-d8f7-4019-b0cc-13a149a70423|10888628000810|Primary|GS1||||
5ef4782d-9a4c-46c3-993e-3e08d6d6fe8a|10888628000780|Primary|GS1||||
46868fad-30db-463b-8555-2489eceda955|10888628000735|Primary|GS1||||
6109da21-fe30-4a1f-9b1e-649f41d967e1|10888628000667|Primary|GS1||||
3f031469-f148-408b-b1f2-736084600a62|10888628000629|Primary|GS1||||
e84ccd9f-30f4-4cc3-a20d-d42ce5a20786|10888628000612|Primary|GS1||||
7a34e09c-aeb6-4950-865c-8b33587f466a|10888628000599|Primary|GS1||||
ea9c1811-d7c4-4860-9ff2-6d8679a15e26|10888628000568|Primary|GS1||||
82bc90f1-5214-4abf-9a2f-35a7e018f119|10888628000551|Primary|GS1||||
772e03e5-96b9-4654-a349-9c1d63001650|10888628000445|Primary|GS1||||
3c77198a-45f3-46ff-9340-00395d426394|10888628000438|Primary|GS1||||
3d8cb3e9-ac3c-4154-8fdf-9c53be29a908|10888628000162|Primary|GS1||||
8b270860-b7df-4430-9426-c1584340df17|00081317002161|Primary|GS1||||
59af6a3c-bd81-4d7d-bb2b-e30ea2c9eae7|00081317002154|Primary|GS1||||
2c624aa0-a288-49b0-9af2-a86e59decf79|00081317001935|Primary|GS1||||
75dccb24-8ed3-400a-a974-16b9f146679b|00081317001881|Primary|GS1||||
18b678bd-b0f5-4167-af2e-33cc305eb7e8|00081317001812|Primary|GS1||||
dbbce5dd-b854-49c4-9823-8901a214efbb|00081317001775|Primary|GS1||||
34290c7a-9cdf-461c-9893-ee846abce634|00081317001652|Primary|GS1||||
b0074176-24e7-408b-9dbd-874a150bf596|00081317001614|Primary|GS1||||
68af2278-e357-4cf3-8f8a-2ff2057e6dac|00081317001584|Primary|GS1||||
b1ae17c5-6cff-4c4c-896c-d593f8e54a03|00081317001577|Primary|GS1||||
b814481a-dc0f-4492-a905-31a3c54c6045|00081317001522|Primary|GS1||||
829d4a8e-eeb2-440a-ac47-197db6aaf200|00081317001508|Primary|GS1||||
81844640-5465-40f6-9777-bf086cb17d80|00081317001492|Primary|GS1||||
c8022f83-3b1c-4739-a47f-5058525462e0|00081317001485|Primary|GS1||||
fe94491f-b280-4b5c-badb-03279bc11153|00081317001430|Primary|GS1||||
a23ee161-0dbb-40a1-a627-42ac874d4887|00081317001379|Primary|GS1||||
a068cf6c-19f5-4ded-8019-1f253195de81|00081317001348|Primary|GS1||||
ca9fca24-1405-4883-b249-c27806074e59|00081317001331|Primary|GS1||||
3e4f9da8-073f-4ada-a8dd-013d2f3f5cd2|00081317001249|Primary|GS1||||
f8111962-029f-48d3-b275-7293599f115b|00081317001218|Primary|GS1||||
ff4cd72a-8aba-4806-80f4-80b229ac502c|10851795006084|Primary|GS1||||
0324b5c7-7fb7-400c-a519-e83398d5016c|10851795006077|Primary|GS1||||
fb99a9b3-eabf-4779-8e3d-9a7ed1beaef8|10888628001176|Primary|GS1||||
8ba0ec1a-c65f-4ab2-a37a-49846f9c6768|10888628001145|Primary|GS1||||
0b69753e-bc11-45a6-af55-8d5ce46f36be|10888628001053|Primary|GS1||||
4ac2ec27-9987-4d70-8be5-288ed40709b4|10888628001039|Primary|GS1||||
259e3f7d-ffb6-42f0-971d-fc86e8c92b3a|10888628001022|Primary|GS1||||
271402be-d2c8-4fc5-9722-60fed64d5b9c|10888628000926|Primary|GS1||||
3ddcb801-b27c-4ec8-909e-083441996324|10888628000902|Primary|GS1||||
18813a34-c3de-4652-878d-94ca97e4a032|10888628000704|Primary|GS1||||
