reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
SCX-200,200,,9.5,4.2,,,,
SCX-225,225,,10,4.5,,,,
SCX-255,255,,10.25,4.8,,,,
SCX-285,285,,10.5,5,,,,
SCX-310,310,,10.75,5.2,,,,
SCX-340,340,,11,5.4,,,,
SCX-375,375,,11.25,5.6,,,,
SCX-400,400,,11.5,5.8,,,,
SCX-420,420,,11.75,5.9,,,,
SCX-445,445,,12,6,,,,
SCX-470,470,,12.25,6.1,,,,
SCX-495,495,,12.5,6.1,,,,
SCX-525,525,,12.75,6.2,,,,
SCX-545,545,,13,6.2,,,,
SCX-560,560,,13.25,6.3,,,,
SCX-580,580,,13.5,6.4,,,,
SCX-615,615,,13.75,6.4,,,,
SCX-650,650,,14,6.5,,,,
SCX-700,700,,14.25,6.6,,,,
SCX-750,750,,14.5,6.7,,,,
SCX-800,800,,15.5,6.7,,,,
SSX-200,200,,9.5,4.2,,,,
SSX-225,225,,10,4.5,,,,
SSX-255,255,,10.25,4.8,,,,
SSX-285,285,,10.5,5,,,,
SSX-310,310,,10.75,5.2,,,,
SSX-340,340,,11,5.4,,,,
SSX-375,375,,11.25,5.6,,,,
SSX-400,400,,11.5,5.8,,,,
SSX-420,420,,11.75,5.9,,,,
SSX-445,445,,12,6,,,,
SSX-470,470,,12.25,6.1,,,,
SSX-495,495,,12.5,6.1,,,,
SSX-525,525,,12.75,6.2,,,,
SSX-545,545,,13,6.2,,,,
SSX-560,560,,13.25,6.3,,,,
SSX-580,580,,13.5,6.4,,,,
SSX-615,615,,13.75,6.4,,,,
SSX-650,650,,14,6.5,,,,
SSX-700,700,,14.25,6.6,,,,
SSX-750,750,,14.5,6.7,,,,
SSX-800,800,,15.5,6.7,,,,
SRX-200,200,,9.5,4.2,,,,
SRX-225,225,,10,4.5,,,,
SRX-255,255,,10.25,4.8,,,,
SRX-285,285,,10.5,5,,,,
SRX-310,310,,10.75,5.2,,,,
SRX-340,340,,11,5.4,,,,
SRX-375,375,,11.25,5.6,,,,
SRX-400,400,,11.5,5.8,,,,
SRX-420,420,,11.75,5.9,,,,
SRX-445,445,,12,6,,,,
SRX-470,470,,12.25,6.1,,,,
SRX-495,495,,12.5,6.1,,,,
SRX-525,525,,12.75,6.2,,,,
SRX-545,545,,13,6.2,,,,
SRX-560,560,,13.25,6.3,,,,
SRX-580,580,,13.5,6.4,,,,
SRX-615,615,,13.75,6.4,,,,
SRX-650,650,,14,6.5,,,,
SRX-700,700,,14.25,6.6,,,,
SRX-750,750,,14.5,6.7,,,,
SRX-800,800,,15.5,6.7,,,,
SCF-180,180,,9.5,4,,,,
SCF-200,200,,9.75,4.1,,,,
SCF-220,220,,10,4.2,,,,
SCF-240,240,,10.5,4.3,,,,
SCF-265,265,,11,4.4,,,,
SCF-295,295,,11.25,4.5,,,,
SCF-325,325,,11.4,4.6,,,,
