reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
210,210,235,9.7,4,9.8,4.4,,
240,240,270,10.2,4.1,10.3,4.7,,
270,270,305,10.6,4.3,10.7,4.9,,
300,300,340,10.8,4.5,10.9,5.1,,
335,335,375,11.3,4.6,11.4,5.1,,
370,370,415,11.7,4.7,11.8,5.3,,
405,405,455,11.9,4.8,12,5.4,,
440,440,495,12.4,5,12.5,5.6,,
475,475,535,12.6,5.2,12.7,5.8,,
515,515,580,13,5.3,13.2,5.8,,
555,555,625,13.3,5.4,13.4,6.1,,
595,595,670,13.7,5.4,13.8,6.1,,
635,635,710,13.8,5.6,14,6.4,,
675,675,755,14.1,5.8,14.2,6.4,,
