reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
310JSP1100,100,,9.4,1.9,,,,
310JSP1125,125,,10.1,2,,,,
310JSP1150,150,,10.7,2.2,,,,
310JSP1175,175,,11.3,2.3,,,,
310JSP1200,200,,11.8,2.4,,,,
310JSP1225,225,,12.3,2.5,,,,
310JSP1250,250,,12.7,2.6,,,,
310JSP1275,275,,13.1,2.7,,,,
310JSP1300,300,,13.5,2.7,,,,
310JSP1325,325,,13.9,2.8,,,,
310JSP1350,350,,14.2,2.9,,,,
310JSP1375,375,,14.5,2.9,,,,
310JSP1400,400,,14.8,3,,,,
310JSP1450,450,,15.4,3.1,,,,
310JSP1500,500,,16,3.3,,,,
310JSP1550,550,,16.5,3.4,,,,
310JSP1600,600,,17,3.5,,,,
324-4125,125,,8.4,3.6,,,,
324-4150,150,,8.9,3.8,,,,
324-4175,175,,9.4,4,,,,
324-4200,200,,9.9,4.1,,,,
324-4225,225,,10.2,4.3,,,,
324-4250,250,,10.5,4.5,,,,
324-4275,275,,10.9,4.6,,,,
324-4300,300,,11.1,4.7,,,,
324-4325,325,,11.5,4.8,,,,
324-4350,350,,11.7,4.9,,,,
324-4375,375,,12,5,,,,
324-4400,400,,12.3,5.1,,,,
324-4425,425,,12.5,5.2,,,,
324-4450,450,,12.7,5.2,,,,
324-4500,500,,13.2,5.4,,,,
324-4550,550,,13.5,5.6,,,,
324-4600,600,,14,5.7,,,,
324-4650,650,,14.3,5.8,,,,
324-4700,700,,14.7,6,,,,
324-4800,800,,15.4,6.3,,,,
324-5100,100,,8.1,2.7,,,,
324-5125,125,,8.8,2.9,,,,
324-5150,150,,9.4,3,,,,
324-5175,175,,10,3.2,,,,
324-5200,200,,10.5,3.3,,,,
324-5225,225,,10.9,3.5,,,,
324-5250,250,,11.3,3.6,,,,
324-5275,275,,11.7,3.7,,,,
324-5300,300,,12,3.7,,,,
324-5325,325,,12.3,3.8,,,,
324-5350,350,,12.6,3.8,,,,
324-5375,375,,12.9,3.9,,,,
324-5400,400,,13.2,4,,,,
324-5450,450,,13.7,4.1,,,,
324-5500,500,,14.1,4.2,,,,
324-5550,550,,14.4,4.4,,,,
324-5600,600,,14.7,4.5,,,,
324-5700,700,,15.7,4.8,,,,
324-5800,800,,16.6,5,,,,
334-0901,100,,,3,,,9,8
334-0902,165,,,4.6,,,9,8.5
334-0903,125,,,3.2,,,9,9.2
334-0904,180,,,4.6,,,9,9.4
334-0905,140,,,3.8,,,9,8.5
334-0906,130,,,4.4,,,9,8.1
334-0907,125,,,3.8,,,9,8
334-0909,145,,,3.8,,,9,9.4
334-0951,120,,,3.2,,,9.5,8.5
334-0952,195,,,4.8,,,9.5,8.9
334-0953,150,,,3.3,,,9.5,9.7
334-0954,215,,,4.8,,,9.5,9.9
334-0955,165,,,4,,,9.5,8.9
334-0956,155,,,4.5,,,9.5,8.6
334-0957,145,,,4,,,9.5,8.4
334-0959,175,,,4,,,9.5,9.9
334-1001,140,,,3.4,,,10,8.9
334-1002,225,,,5.1,,,10,9.4
334-1003,175,,,3.4,,,10,10.2
334-1004,250,,,5.1,,,10,10.4
334-1005,195,,,4.2,,,10,9.4
334-1006,180,,,4.6,,,10,9
334-1007,170,,,4.2,,,10,8.8
334-1009,205,,,4.2,,,10,10.4
334-1051,160,,,3.6,,,10.5,9.4
334-1052,260,,,5.3,,,10.5,9.9
334-1053,200,,,3.5,,,10.5,10.7
334-1054,290,,,5.3,,,10.5,10.9
334-1055,225,,,4.4,,,10.5,9.9
334-1056,210,,,4.8,,,10.5,9.5
334-1057,195,,,4.4,,,10.5,9.3
334-1059,235,,,4.4,,,10.5,10.9
334-1101,180,,,3.7,,,11,9.8
334-1102,300,,,5.6,,,11,10.3
334-1103,230,,,3.6,,,11,11.3
334-1104,330,,,5.6,,,11,11.5
334-1105,255,,,4.7,,,11,10.3
334-1106,240,,,4.9,,,11,9.9
334-1107,225,,,4.7,,,11,9.7
334-1109,270,,,4.7,,,11,11.5
334-1151,210,,,3.9,,,11.5,10.3
334-1152,345,,,5.8,,,11.5,10.8
334-1153,265,,,3.7,,,11.5,11.8
334-1154,380,,,5.8,,,11.5,12
334-1155,295,,,4.9,,,11.5,10.8
334-1156,270,,,5,,,11.5,10.3
334-1157,255,,,4.9,,,11.5,10.2
334-1159,305,,,4.9,,,11.5,12
334-1201,235,,,4.1,,,12,10.7
334-1202,390,,,6,,,12,11.3
334-1203,300,,,3.9,,,12,12.3
334-1204,430,,,6,,,12,12.5
334-1205,330,,,5.1,,,12,11.3
334-1206,310,,,5.2,,,12,10.8
334-1207,290,,,5.1,,,12,10.6
334-1209,350,,,5.1,,,12,12.5
334-1251,270,,,4.2,,,12.5,11.2
334-1252,440,,,6.2,,,12.5,11.8
334-1253,340,,,4,,,12.5,12.8
334-1254,485,,,6.2,,,12.5,13
334-1255,375,,,5.3,,,12.5,11.8
334-1256,350,,,5.4,,,12.5,11.2
334-1257,330,,,5.3,,,12.5,11.1
334-1259,395,,,5.3,,,12.5,13
334-1301,300,,,4.4,,,13,11.6
334-1302,495,,,6.5,,,13,12.2
334-1303,380,,,4.1,,,13,13.3
334-1304,545,,,6.5,,,13,13.5
334-1305,420,,,5.5,,,13,12.2
334-1306,395,,,5.6,,,13,11.7
