reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
10512-190MP,190,,10.3,3.2,,,,
10512-210MP,210,,10.7,3.2,,,,
10512-230MP,230,,11.1,3.2,,,,
10512-250MP,250,,11.4,3.3,,,,
10512-270MP,270,,11.8,3.4,,,,
10512-300MP,300,,12,3.6,,,,
10512-320MP,320,,12.3,3.7,,,,
10512-350MP,350,,12.5,3.9,,,,
10512-380MP,380,,12.8,4.1,,,,
10512-410MP,410,,13,4.1,,,,
10512-440MP,440,,13.4,4.2,,,,
10512-470MP,470,,13.7,4.3,,,,
10512-510MP,510,,14,4.3,,,,
10512-550MP,550,,14.8,4.3,,,,
10512-600MP,600,,15.4,4.4,,,,
10512-650MP,650,,15.8,4.5,,,,
10512-700MP,700,,16.1,4.7,,,,
10521-185HP,185,,9.8,3.4,,,,
10521-205HP,205,,9.9,3.7,,,,
10521-225HP,225,,10.1,3.7,,,,
10521-245HP,245,,10.3,3.8,,,,
10521-265HP,265,,10.8,3.9,,,,
10521-285HP,285,,11,4,,,,
10521-315HP,315,,11.1,4.2,,,,
10521-335HP,335,,11.3,4.4,,,,
10521-355HP,355,,11.5,4.5,,,,
10521-375HP,375,,11.7,4.6,,,,
10521-405HP,405,,12,4.6,,,,
10521-435HP,435,,12.1,4.7,,,,
10521-465HP,465,,12.8,4.7,,,,
10521-495HP,495,,12.9,4.8,,,,
10521-545HP,545,,13.3,4.8,,,,
10521-595HP,595,,13.9,4.8,,,,
10521-655HP,655,,15.1,4.9,,,,
10521-695HP,695,,15.4,4.9,,,,
10610-160LP,160,,10.5,2.5,,,,
10610-190LP,190,,11.4,2.6,,,,
10610-220LP,220,,12.1,2.7,,,,
10610-250LP,250,,12.3,2.8,,,,
10610-280LP,280,,13,2.9,,,,
10610-310LP,310,,13.4,3,,,,
10610-340LP,340,,13.7,3.1,,,,
10610-370LP,370,,14.5,3.1,,,,
10610-400LP,400,,14.8,3.2,,,,
10610-450LP,450,,15.4,3.2,,,,
10610-500LP,500,,15.9,3.3,,,,
10610-550LP,550,,16.5,3.5,,,,
10610-600LP,600,,17,3.7,,,,
10610-650LP,650,,17.5,3.8,,,,
10610-700LP,700,,17.9,3.8,,,,
10621-175MP,175,,9.3,3.7,,,,
10621-190HP,190,,9.6,4,,,,
10621-195MP,195,,9.7,3.9,,,,
10621-205HP,205,,9.9,4.1,,,,
10621-215MP,215,,10,3.9,,,,
10621-225HP,225,,10.2,4.2,,,,
10621-235MP,235,,10.5,3.9,,,,
10621-240HP,240,,10.5,4.3,,,,
10621-255HP,255,,10.8,4.4,,,,
10621-255MP,255,,11,3.9,,,,
10621-280HP,280,,11.1,4.5,,,,
10621-285MP,285,,11.4,4,,,,
10621-300HP,300,,11.4,4.6,,,,
10621-305MP,305,,11.7,4,,,,
10621-325MP,325,,11.8,4.4,,,,
10621-330HP,330,,11.7,4.7,,,,
10621-350HP,350,,12,4.8,,,,
10621-355MP,355,,12.1,4.4,,,,
